Id,Label,timeset,modularity_class
985,985,,1
986,986,,4
987,987,,0
988,988,,1
989,989,,2
990,990,,1
991,991,,2
992,992,,2
993,993,,1
994,994,,1
995,995,,1
996,996,,2
997,997,,1
998,998,,1
999,999,,1
1000,1000,,2
1001,1001,,1
1002,1002,,1
1003,1003,,1
1004,1004,,1
1005,1005,,4
1006,1006,,2
1007,1007,,2
1008,1008,,2
1009,1009,,1
1010,1010,,1
1011,1011,,1
1012,1012,,1
1013,1013,,0
1014,1014,,2
1015,1015,,1
1016,1016,,2
1017,1017,,1
1018,1018,,1
1019,1019,,1
1020,1020,,1
1021,1021,,2
1022,1022,,1
1023,1023,,1
1024,1024,,4
1025,1025,,2
1026,1026,,1
1027,1027,,1
1028,1028,,1
1029,1029,,1
1030,1030,,1
1031,1031,,1
1032,1032,,1
1033,1033,,1
1034,1034,,2
1035,1035,,2
1036,1036,,2
1037,1037,,1
1038,1038,,1
1039,1039,,1
1040,1040,,1
1041,1041,,1
1042,1042,,1
1043,1043,,1
1044,1044,,1
1045,1045,,1
1046,1046,,2
1047,1047,,1
1048,1048,,1
1049,1049,,1
1050,1050,,1
1051,1051,,2
1052,1052,,1
1053,1053,,1
1054,1054,,2
1055,1055,,1
1056,1056,,1
1057,1057,,2
1058,1058,,1
1059,1059,,2
1060,1060,,1
1061,1061,,2
1062,1062,,2
1063,1063,,1
1064,1064,,2
1065,1065,,1
1066,1066,,1
1067,1067,,1
1068,1068,,2
1069,1069,,1
1070,1070,,1
1071,1071,,1
1072,1072,,1
1073,1073,,1
1074,1074,,2
1075,1075,,1
1076,1076,,1
1077,1077,,2
1078,1078,,0
1079,1079,,4
1080,1080,,1
1081,1081,,2
1082,1082,,2
1083,1083,,2
1084,1084,,1
1085,1085,,2
1086,1086,,1
1087,1087,,1
1088,1088,,1
1089,1089,,2
1090,1090,,1
1091,1091,,1
1092,1092,,1
1093,1093,,2
1094,1094,,1
1095,1095,,2
1096,1096,,1
1097,1097,,1
1098,1098,,1
1099,1099,,1
1100,1100,,1
1101,1101,,2
1102,1102,,1
1103,1103,,2
1104,1104,,2
1105,1105,,2
1106,1106,,1
1107,1107,,2
1108,1108,,1
1109,1109,,2
1110,1110,,1
1111,1111,,1
1112,1112,,2
1113,1113,,2
1114,1114,,2
1115,1115,,1
1116,1116,,2
1117,1117,,2
1118,1118,,2
1119,1119,,1
1120,1120,,2
1121,1121,,1
1122,1122,,1
1123,1123,,2
1124,1124,,1
1125,1125,,1
1126,1126,,1
1127,1127,,1
1128,1128,,2
1129,1129,,2
1130,1130,,1
1131,1131,,1
1132,1132,,1
1133,1133,,2
1134,1134,,1
1135,1135,,1
1136,1136,,1
1137,1137,,1
1138,1138,,1
1139,1139,,1
1140,1140,,1
1141,1141,,1
1142,1142,,1
1143,1143,,2
1144,1144,,1
1145,1145,,2
1146,1146,,2
1147,1147,,1
1148,1148,,2
1149,1149,,4
1150,1150,,2
1151,1151,,2
1152,1152,,1
1153,1153,,2
1154,1154,,2
1155,1155,,4
1156,1156,,1
1157,1157,,2
1158,1158,,2
1159,1159,,1
1160,1160,,1
1161,1161,,2
1162,1162,,1
1163,1163,,2
1164,1164,,1
1165,1165,,2
1166,1166,,4
1167,1167,,1
1168,1168,,2
1169,1169,,2
1170,1170,,1
1171,1171,,1
1172,1172,,1
1173,1173,,2
1174,1174,,1
1175,1175,,1
1176,1176,,2
1177,1177,,2
1178,1178,,2
1179,1179,,2
1180,1180,,2
1181,1181,,2
1182,1182,,2
1183,1183,,4
1184,1184,,2
1185,1185,,1
1186,1186,,2
1187,1187,,2
1188,1188,,1
1189,1189,,0
1190,1190,,0
1191,1191,,1
1192,1192,,2
1193,1193,,1
1194,1194,,2
1195,1195,,2
1196,1196,,1
1197,1197,,1
1198,1198,,0
1199,1199,,1
1200,1200,,2
1201,1201,,1
1202,1202,,1
1203,1203,,1
1204,1204,,2
1205,1205,,2
1206,1206,,1
1207,1207,,1
1208,1208,,1
1209,1209,,1
1210,1210,,1
1211,1211,,1
1212,1212,,1
1213,1213,,1
1214,1214,,1
1215,1215,,1
1216,1216,,2
1217,1217,,2
1218,1218,,1
1219,1219,,2
1220,1220,,2
1221,1221,,1
1222,1222,,4
1223,1223,,1
1224,1224,,1
1225,1225,,2
1226,1226,,1
1227,1227,,2
1228,1228,,1
1229,1229,,1
1230,1230,,1
1231,1231,,4
1232,1232,,1
1233,1233,,4
1234,1234,,1
1235,1235,,0
1236,1236,,1
1237,1237,,0
1238,1238,,2
1239,1239,,1
1240,1240,,2
1241,1241,,0
1242,1242,,1
1243,1243,,0
1244,1244,,1
1245,1245,,2
1246,1246,,2
1247,1247,,2
1248,1248,,1
1249,1249,,1
1250,1250,,1
